select_product,product_id,variant_id,woo_variant_id,sku,product_name,color,design,design_variant,size,dimensions,price_dollars,price_variant,price_cents,stock_qty,woo_stock,image_variant,description_variant,base_weight_oz,weight_oz_variant,row_id,last_woo_order,readable_name,variant_details
"CHR Long Sleeve – Circle Logo, Desert Angels - CLO-0002",CLO-0002,CLO-0002-005,9614,CHR-CLO-0002-CRM-XXL,"CHR Long Sleeve – Circle Logo, Desert Angels",cream,,,xx-large,,$45.00,,"4,500",4,4,,,10,14,216155a5-9a75-4231-8c25-d8fee0f03780,,Desert Angels Long Sleeves | cream xx-large,cream xx-large
"CHR Long Sleeve – Circle Logo, Desert Angels - CLO-0002",CLO-0002,CLO-0002-006,9615,CHR-CLO-0002-CRM-XXXL,"CHR Long Sleeve – Circle Logo, Desert Angels",cream,,,xxx-large,,$45.00,,"4,500",5,5,,,10,15,43a58384-1d18-4761-8ba1-5739130bfe08,,Desert Angels Long Sleeves | cream xxx-large,cream xxx-large
"CHR Long Sleeve – Circle Logo, Desert Angels - CLO-0002",CLO-0002,CLO-0002-007,9616,CHR-CLO-0002-TREE-SM,"CHR Long Sleeve – Circle Logo, Desert Angels",real tree,,,small,,$45.00,,"4,500",5,5,,,10,7,7f0e0fe3-bed7-4804-a11f-246ebc31c6ef,,Desert Angels Long Sleeves | real tree small,real tree small
"CHR Long Sleeve – Circle Logo, Desert Angels - CLO-0002",CLO-0002,CLO-0002-008,9617,CHR-CLO-0002-TREE-MD,"CHR Long Sleeve – Circle Logo, Desert Angels",real tree,,,medium,,$45.00,,"4,500",3,3,,,10,7,7e93d729-f17f-4702-a3f2-f543016fdd85,,Desert Angels Long Sleeves | real tree medium,real tree medium
"CHR Long Sleeve – Circle Logo, Desert Angels - CLO-0002",CLO-0002,CLO-0002-009,9618,CHR-CLO-0002-TREE-LG,"CHR Long Sleeve – Circle Logo, Desert Angels",real tree,,,large,,$45.00,,"4,500",1,1,,,10,8.8,c7d2a229-c80c-4354-8836-3660930d55a9,,Desert Angels Long Sleeves | real tree large,real tree large
"CHR Long Sleeve – Circle Logo, Desert Angels - CLO-0002",CLO-0002,CLO-0002-010,9619,CHR-CLO-0002-TREE-XL,"CHR Long Sleeve – Circle Logo, Desert Angels",real tree,,,x-large,,$45.00,,"4,500",4,4,,,10,8.8,09aa58e8-71b7-4eb2-b02a-d7e58ae9db81,,Desert Angels Long Sleeves | real tree x-large,real tree x-large
"CHR Long Sleeve – Circle Logo, Desert Angels - CLO-0002",CLO-0002,CLO-0002-011,9620,CHR-CLO-0002-TREE-XXL,"CHR Long Sleeve – Circle Logo, Desert Angels",real tree,,,xx-large,,$45.00,,"4,500",4,4,,,10,10,3e6dfffe-54b2-4e4a-8fcd-a438aee53d91,,Desert Angels Long Sleeves | real tree xx-large,real tree xx-large
"CHR Long Sleeve – Circle Logo, Desert Angels - CLO-0002",CLO-0002,CLO-0002-012,9859,CHR-CLO-0002-TREE-XXXL,"CHR Long Sleeve – Circle Logo, Desert Angels",real tree,,,xxx-large,,$45.00,,"4,500",0,0,,,10,,f8f44d71-e90c-4761-9176-01cfc2ca5aff,,Desert Angels Long Sleeves | real tree xxx-large,real tree xxx-large
CHR Hoodie – Large Logo (cropped) - CLO-0003,CLO-0003,CLO-0003-001,9735,CHR-CLO-0003-DSHW-XS,CHR Hoodie – Large Logo (cropped),dark shadow,,,x-small,,$50.00,,"5,000",4,4,,,20,15,08cc1596-ad57-47ee-b357-77439cabb4c2,,CHR Cropped Hoodie | dark shadow x-small,dark shadow x-small
CHR Hoodie – Large Logo (cropped) - CLO-0003,CLO-0003,CLO-0003-002,9736,CHR-CLO-0003-DSHW-SM,CHR Hoodie – Large Logo (cropped),dark shadow,,,small,,$50.00,,"5,000",1,1,,,20,17.6,0bb6d5c6-b442-40f0-ae6f-cc0ea29a6e3f,,CHR Cropped Hoodie | dark shadow small,dark shadow small
CHR Hoodie – Large Logo (cropped) - CLO-0003,CLO-0003,CLO-0003-003,9737,CHR-CLO-0003-DSHW-MD,CHR Hoodie – Large Logo (cropped),dark shadow,,,medium,,$50.00,,"5,000",3,3,,,20,18,c7a57030-6c5e-4352-b1e4-aeb7f6144f09,,CHR Cropped Hoodie | dark shadow medium,dark shadow medium
CHR Hoodie – Large Logo (cropped) - CLO-0003,CLO-0003,CLO-0003-004,9738,CHR-CLO-0003-DSHW-LG,CHR Hoodie – Large Logo (cropped),dark shadow,,,large,,$50.00,,"5,000",3,3,,,20,19.5,7b46e581-b065-44c5-ab37-e10d74a5633c,,CHR Cropped Hoodie | dark shadow large,dark shadow large
CHR Hoodie – Large Logo (cropped) - CLO-0003,CLO-0003,CLO-0003-005,9739,CHR-CLO-0003-DSHW-XL,CHR Hoodie – Large Logo (cropped),dark shadow,,,x-large,,$50.00,,"5,000",1,1,,,20,21.1,3c464d18-f8b1-491c-99a6-ab54e639a41d,,CHR Cropped Hoodie | dark shadow x-large,dark shadow x-large
CHR Sticker – Circle Logo - MER-0001,MER-0001,MER-0001-001,9628,CHR-MER-0001-WHT-ORP-3X3,CHR Sticker – Circle Logo (orange poppy),white,circle logo,orange poppy,no size,"3""",$3.00,,300,200,200,,"3x3"" featuring CHR Botanical Poppy in white on black paper – custom design by Senna Flora! Check out more of Senna’s work at <a href=""https://remedyrisingprints.com"">remedyrisingprints.com</a>!!",0.036,0.036,677f74ec-8cd8-43f1-a7da-180fcc76729a,,"CHR Sticker-Circle (orange poppy) | white 3""","white 3"" orange poppy"
CHR Sticker – Circle Logo - MER-0001,MER-0001,MER-0001-002,10260,CHR-MER-0001-HOL-PRPP-3X3,CHR Sticker – Circle Logo (purple poppy),holographic,circle logo,purple poppy,no size,"3""",$3.00,,300,199,199,,"3x3"" featuring CHR Icon with poppy in lilac on holographic paper",0.036,0.036,05c3c5a5-3fa8-4870-94e3-d5f91655f757,,"CHR Sticker-Circle (purple poppy) | holographic 3""","holographic 3"" purple poppy"
CHR Sticker – Circle Logo - MER-0001,MER-0001,MER-0001-003,9630,CHR-MER-0001-BLK-3X3,CHR Sticker – Circle Logo,black,senna logo,,no size,"3""",$3.00,,300,200,200,,"3x3"" CHR Icon with poppy in ""California poppy orange"" on white paper",0.036,0.036,3ff48fc5-43ce-4f10-a9a9-eccf609b9cda,,"CHR Sticker-Circle | black 3""","black 3"""
CHR Sticker (baby bumper) - MER-0002,MER-0002,MER-0002-001,,CHR-MER-0002-WHT-6X2,CHR Sticker (baby bumper),white,large logo,,no size,"6""x2""",$4.00,,400,50,50,,,0.071,0.071,f0e2b77a-f4f9-4d3f-919f-cbfdf9c7d1db,,"CHR Baby Bumper Sticker | white 6""x2""","white 6""x2"""
CHR Sticker (baby bumper) - MER-0002,MER-0002,MER-0002-002,,CHR-MER-0002-BLK-6X2,CHR Sticker (baby bumper),black,desert angels,,no size,"6""x2""",$4.00,,400,50,50,,,0.071,0.071,0f339a5d-9cd1-4ab8-bd0b-55ece94449d8,,"CHR Baby Bumper Sticker | black 6""x2""","black 6""x2"""
